text,label
"I said, 'Your missus made the suggestion of sending you to an all-girl gym. That'd only make matters worse than, wouldn't it? I know all about your indiscretions when it comes to pussy. You've got a sordid history there. That's one sure way to coerce you into gay sex, I think.'",sec
@user  She wanted to give another sarcastic remark but I instead she just let out a scream of pleasure.Her feet and hands clenching tightly as the girl has her way with her.,sec
"@user  Hydrocortisone cream, or zinc if it's looking like it could get inf * ct * d. The ones on weird places like that are awful, you have my sympathy",none
"the lights out theme here in twt is so weird, im not used to it",none
@user  Hessle pass you the boof do you accept?,drugs
"@user  @DeniseKEvans  Looks like a lineup purely to stop Chelsea, rather than to go and win. Either way it's slightly depressing. Hope I'm wrong.",none
"@user  Haha, it's gon na be a while until I get ideeas & resources for a new one, but thank you so muchðŸ–¤ you can check the others in my pinned if you have' n't' seen them yetðŸ˜Š",none
"Although i'm scared that this envy will turn to hatred. I don't want that, I really don't. So the best I can do is hate myself for not being enough. It's just how I lived, but every day still hurts, every fucking day.",profanity
"@user  @user  @user  @user  @user  @user  @user  @user  You two are completely wrong again. I am ex-muslim and I was raised bt Quran, I know every phrase. And what I had written above all true; women are inferior mathematically, that is fact by numbers. By the way; world is flat Zu al-Qarnayn/Surah Al-Kahf (18), Ayahs 86-90:)",conflictual
Want to sell his house he didn't want to have to divide anything down the middle. So he played psychological games with her abused her emotionally verbally and physically he cheated on her and he was able to drive her into a state of depression and suicide. she made an attempt,none
"I told my team this week that if you ever wondered how it was to live through the Civil Rights Movement, JFK assassination., World War II... This is our generations historic moment equivalent. Once it's in that context, we can stop beating ourselves up and give ourselves a hug.",none
"@MSNBC  @MaddowBlog  Why anyone would vote for Rand Paul is beyond comprehension. He makes the lowliest scumbags look like decent people. As long as I can remember, his only recognizable trait is that he's going to throw a wrench into the system for attention.",conflictual
"I'm taking all the flat-bladed knives out of my apartment today. Clearly I'm not ready to them around and be safe. Sorry if I worried people last night, I'm not badly hurt right now, and i really don't want to hurt myself further.",self-harm
"Let's burn what's evil, depressing and sad with HolikaDahan and welcome the new beginnings with open arms. HappyHoli! Holi2021 holi holifestival festivalofcolors holihai holifest rang rangbarse holicelebration colourful",none
"So after asap pa darna kana pala Joshua Garcia, Basta keep safe always grabi I'm' so proud of you boy! @user  ðŸ’—ðŸ’—ðŸ’—",none
"I hate it here sometimes. So when we clapbacks, suddenly we hate ur bias. No fckers, WE HATE U. We always love the members but NOT U ðŸ™„ smh",conflictual
tw // disordered eating / maybe ed idrk - - - i... want to lose weight * * * in a healthy way * * * but the only way ik how to lose weight is by not eating. idk how much i weigh bc i dont weigh myself (intentionally) so its more-so i want to be a bit more lean so i have muscles..,none
I have a sfw twitter so my dash would be clean and I don't have to worry about scrolling through my twitter in public but twitter really said fucka you and shoves suggestive ads to my face PLEASE,profanity
Cruise in June. Got ta get mentally and physically right by then,none
"At least they sometimes remember California exists. I remember when the Democrats pegged Washington governor Gary Locke to deliver the response to one of Bush's state of the union addresses, and the national media acted like they'd picked some rando off the street.",none
@kharge  Congress leaders are on a suicide mission!!,none
Focusing on shifting my pattern of guilt-tripping myself for not working or creatively-producing enough through my day into not seeking my worth out of my work... Let's see.,none
So tired of these ugly ass happy go lucky Twitter couples indulging in all the Motherfucking fun and I get my heart stepped on by every girl I come across,conflictual
@user  @Conservatives  How depressing. This place is sadly not going to get any better until the core of voters propping up this nonsense aren't around longer.,conflictual
@user  @user  And of course the crotch grabber wasn't aware of his buddies â€˜ past time '. We know Trump paid for prostitutes- maybe Epstein gave him a discount for â€˜ promotion '.,conflictual
The beginning of the movie 5th element tells you everything you need to know. Water air fire earth (YOU) are the 5th element ISLAM = I-Self-Law-And-Master. allah = Arm-leg-leg-Arm-head. Peep game this shit about you. Not another mafucka saving you. iloveYouall.,profanity
Even after 9 eps I still can't believe liofiat r just friends like bruh u cuddle to sleep and sweet talk still Fiat dumb bitch can't realise why Leo's being angry with him? Is ur brain inside ur kneecaps dude? ðŸ˜­ðŸ˜­,profanity
Im not a hunter im a lover please dont question my methods ive been mentally preparing fir this the firdt time a little white boy called me a nigger i will nit back down from this this is nonnegotiable,conflictual
"@user  @user  Real friends must understand that you won't always be physically or emotionally available. That sometimes you have to distance yourself for a while, not to cut them off, but just time for yourself. Fav color: ðŸ¤ syurabaikhati Frunchie @user",none
I wan na help you become a better cocksucker,profanity
"Finally took my psych meds I was supposed to start 3 weeks ago. It's almost 3am... Are they actually gon na help me sleep? Am I gon na be able to wake up/be coherent in time for therapy in 11 hours? If I keep taking them as prescribed, will they actually help? Guess we'll see ðŸ™ƒ",none
The frustration I get from being the 'dead weight' when I play with friends or just hang out makes me want to just not do anything anymore. Its pretty bad. Can only take so many Ls. The anxiety and depression are peaking.,self-harm
@laurenboebert  You will not be seated for your seditious acts on democracy it's a matter of time before your done and back living with ur parents your an example of bad education,conflictual
kp0p id0l snapchat meanspo i have saved to an album on my phone; a thread,none
"@user  @BOConnorMP  @ScottMorrisonMP  @user  @user  @user  Rob there just a bunch of left wing extreme twats. Not much in their gene pool. Trumps gone so be it, but i have noticed how labour pm & voters react the same way as Biden & Antifa. Arrogant and rioting one day then all saintly righteous the next. The dimwits can't see it",conflictual
"@user  @user  Do you believe any QB can have success under Nagy? I've seen nothing to make me believe that. I was speaking to Jameis and his potential with the team he's all in the news due to signing with, the Saints. Wooo saaaa motherfucker!",profanity
@user  wait is it that image of the anime woman deep throating a knife,none
"@michaelpollan  Michael, in your experience or to your knowledge, is there a way to 1) prepare, 2) avoid or 3) treat a bad trip? Some assign that fate to LSD only, but no, psilocybin can generate bad trips as well. They are terrifying.",drugs
@user  did u saw crackers related twts on tl???,none
oh you're on dinotwt? are you in love with tied up hunk or do you hate him with all your being,none
@user  These fucking nerds are why i hated the basalt mission,conflictual
I reblog models I use as thinspo and fucking gimps. Leave mw @alone,conflictual
The dicksucking is still immaculate.,profanity
@user  the number of character that i have tried to do 486H with is depressing,none
when people start blaming geralt's suicidal ideation on yennefer ðŸ˜ž i don't want this please cancel it oh my god,none
@bmstores  @user  Throwing Jimmies into the mix because they were gym shoes. Not sorry.,none
"If 'letting your hair down' means you relax and enjoy yourself, letting your pubes down is true freedom.",none
That snow pics looks so good on y'all skins this country even gives us bad skin texture and one big agbaya on government payroll will start guilt tripping me,none
FYI if you aren't following me for FREE on my 0F you're missing out. I post at least once a day most days 2-3 times ðŸ¦¶ðŸ‘ðŸ†ðŸ’¦ðŸ’¦ðŸ’¦ ðŸ’“bootyworship footgoddess fendom soles higharches nsfwðŸ’“,sec
"@user  @user  It's a stupid fucking point because 1) Kap already lost his NFL career for literally asking cops to stop killing Black people and 2) Gruden's emails weren't being searched, this is from the emails being evaluated due to the WFT's misconduct. He's just a racist cunt and got caught",conflictual
"@user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @kevinault  @user  @user  @user  did' n't' get them and the virus itself is harmless, as you've  previously implied; but the second one is silly.",spam
"Stan twt never makes any sense to me. Likeee why would you hate on an artist you don't even Stan or know? Dth, Targeted harassment, using slur and saying what not Never knew people can be so jobless until I saw Twitter stans.",none
@user  @GerryCallahan  Oh so its fake news from the aliens. I get it. Does' n't' your tinfoil hat itch? You realize the people around you think your mentally ill or severely stupid don't you? They might not say it to your face but....,conflictual
@user  We will give you a deal for free anti-depressants.,drugs
"@user  What's so weird is that he's fought his entire political life for Scottish independence, and now when it's within reach he's going to torpedo it. What a complete and utter twat.",conflictual
"@user  I totally understand that, you hide your sadness because you don't want to bring people down. I do the same thing there is a saying that the happiness people is also the sadest too because they keep there sadness deep within them",none
"My ex is posting about No Woman No Cry saying it's relatable for Valentine's Day like it's about being happy without woman in your life when it's literally Marley telling a woman not to cry, in Jamaican dialect, what a fucking idiot",conflictual
"@user  @user  What kills me about this depopulation conspiracy... It could be done by shoving shit in our water supply - globally... and no one would be any the wiser... I mean really? Invent a whole pandemic, chaos, economic fckery - when 'they' (no clue who) could have used the WATER?",conflictual
i need ya to stop feeding the crowsâ€¦ bagels? â€˜ cuz they aren't eating theâ€¦ bagels you are giving them they are stashing them in my treeeeees and it's raining bagels on my houuuuuse,none
I never in life heard of the lady Dave talked about so I watch her â€˜ 17 Netflix special. It fucking sucked. BUT she said some shit about not coming out to her grandmother that made me feel for that community a lot more. I don't think anybody would wan na be a faggy. Shit ain't easy,conflictual
trauma dumping in my drafts fo today x,none
@user  Howie is a joke. Need a football guy as GM. Not a little weasel,none
@user  Can't go on like this forever... Well we could but we may lose more to suicides and murder. Without good stats available on the latter it's hard to make an informed decision.,none
"@user  [ Anytime your high hit, there you were with losing your clothes. I had no issues with it, not a single one. The way your petite frame wiggled and climbed on top of me brought a lazy grin to my lips, cupping your perky tit and rubbing my thumb over the pierced nipple. I â€”",profanity
@user  There is a lifetime memory when you contribute and grow together with the community.,none
@user  Why are you using depression as a sympathetic boost you stole that like me using my anxiety for saying why I punched a kid grow up and get a fucking job or something,conflictual
@user  Melissa is an entire clown. Her only storyline is to attack Tre & scream loyalty for 5 years. It's tired! Tre clearly doesn't like Melissa as a person but tries to deal w/her for her brother. I don't get what people want from Tre.,none
"Sally Rooney's' NormalPeople is captivating in the sense that you are struggling for the depressing narrative to go to a certain place & Rooney either goes in the opposite direction or just stops the moment entirely. Characters are not only ordinary, but beautifully captured ðŸ‘¥",none
rewatched dawndididawn relay dance and now i miss hyojong so bad. psy needs to give him a cb asap or im k1lling myself,self-harm
"@user  @user  @user  @hasanthehun  You legit seem like the type of person offended by anything and everything. Typica Karen of Karen. King Karen. Oh shit, sorry for your offence, Queen Karen *. Oh no no sorry. They Karen * Them Karen *? I can't figure it out, my anxiety and depression are not in full force: (((",conflictual
Classic European Commission as Von der Leyen botches apology for triggering Article 16. 'The bottom line is that mistakes were made in the process leading up to the decision. And I deeply regret that. But in the end we got it right. ``,none
"The way Twitter is responding one could b forgiven 4 thinking that Jon Stewart was the second coming & the new Xbox all in one package rather than a past his prime political commentator, mind you at least the dweeb contingent will have someone less cunty to tell them how to think",profanity
"@user  sfhjhjf her entire storyline is her dad being emotionally and physically abusive to her and she doesn't let anyone in and when someone NOTICES what's wrong and shows kindness and caring like what, is she not gon na catch feelings?",none
"@user  Thursday I picked up my Reverse Osmosis & bought tons of groceries. Friday I bought 17 packs of cigs & more groceries. I have been filling water bottles, and cooked pulled pork today. I am most concerned now with canned meat, will shop next week.",drugs
"One good thing cyberpunk does is that when you are ahead of a walking NPC, they start running to catch up with you instead of having to wait for their ass",profanity
@user  @DifficultNerd  Looks like even respectful discourse is triggering some people.,none
"@user  It's looking great, even better than previous games. I love the aesthetic btw. Check these hashtags, they might get you some more exposition. 256fes 3dcg",none
"Why is it a 'white person','''' is called white & a 'black person','''' is called black when their skin is clearly not white or black? Humans take offence when someone says 'dark skinned','''' but they are happy to be called black - a name that was started by 'white','''' enslavers. It hurts me.",conflictual
"so junkyu, yedam and jeongwoo, where is the full ver cover of best part?.....",none
"@user  @user  jiminfraud i take everything back i',''ll' eat the trash you're made of and swallow it like cummies i pwomise dont leave me",profanity
"@JRubinBlogger  But, they would have lost seats in landslides as angry GOP voters would've stayed home instead of voting. And power is more important than principle.",none
@user  We call Democrats like you victims. Is it unfortunate that concealed carry and open carry are necessary yes. However that changes nothing. The only people that would benefit from extreme gun laws are the criminals.The most pie in the sky nitwit has to realize that the bad guys.,conflictual
"I feel like we're all in the process of being flushed down the bog, only instead of going down the U-bend, we're constantly being swirled violently around the pan whilst giant assholes keep adding shit and massive dicks and cunts keep pissing on us. It's all very unpleasant.",profanity
i keep having dreams of my axolotl jumping out of his tank and i have to rescue him all the time. is my axolotl secretly suicidal? cause same bud don't worry we'll get through this,none
pussy smelling like dove when I go down there.... I'm eatin that ass to OnlyIfYouMyGirl,sec
"@user  They ain't trynna talk about it, they think they shit gon na be the wet til the 95 ðŸ˜‚ðŸ˜‚ some of them can't even get wet right now talking bout pussy run the world Better stop and get some Water ðŸ’¦",conflictual
@user  So what were the mechanisms that inhibited women from contributing code to GNU while still enabling them to contribute in other ways?,none
@user  Just seen ppl harass a translator for no good reason and also just this app in general just has a lot of assholes,profanity
"@Koreaboo  so it's,''Accusation' Day',''' today in korea Btw true or not, bullying is a big mistake especially for those students whose suffering depression and anxiety",none
"@user  @user  Hey man, it is real and from the heart! Keep kicking ass! I just do my best man. nothing special, I think just trying can make a massive difference! So I just try!",none
theyre literally two weekly greetings away from calling me a slur and offering me a discount coupon for an ice coffee from starbucks,none
@user  On painkillers so probably not thinking straight today,none
@user  The one ill always remember is the forest one! Not for the goal its for the fact I was so angry I was so angry whilst driving home i drove past the forest coach and give it the old wanker hand gesture until the car infront stopped and I ploughed straight into the back of it ðŸ¤£,profanity
@user  I'm not trying to scare you but present circumstances are not anywhere near as stable as you want to believe and the people are not anywhere near as sedated as you suggest.,none
i used to think na wala lang it's just there but shuta i saw a man with good tiddies nga like bagay sa iyang built i was like 'oh okay i get it now',profanity
I decided to join a zoom where post grads talked about life after college and honestly it was so depressing I started to cry,none
"Today was really a settle day, gave muthafuckas time to think foreal.",profanity
Feeling depressed and lonely. Tired of fighting. I'm struggling today.,none
Sir @JoeBiden  I don't understand how I follow the rules and your administration here in Nevada is telling me because I'm Black I am drugs is that right Cps does not protect the kids that need help they are racist and they do things to Destroy families,none
"@user  @DailyMirror  Well, the risk factor changes just a bit when so many COVID patients are dying. What is the risk (if prescribed by board-certified doctors) of a well-used, well-tolerated medication?",none
"@user  I am sorry, I suffer from lack of dental access, too. Do you have any clove in your spice rack? I use clove, skullcap, yarrow tinctures. But nothing much helps.",none
I think we are not talking abt Jun s solo enough guys. I'm sure everyone's extremely proud of him even though he s one of the silent members (for noncarats at least) he shined so beautifully with this album and I'm so happy for him ðŸ’•ðŸ’•ðŸ’•ðŸ’•ðŸ˜­,none
@user  Not correct. When you spend time and money and you learn something.. it is not a waste! Atiku ran in 1993 when abiola won. 26yrs later in 2019.. atiku ran and did' n't' win! Let as many igbos run.. let them learn how to crystallize igbo votes.,conflictual
"Mfs really trauma dump like 'DO','N'T' TALK TO DADS','''' AND IT GETS LIKE 44K RTS The internet really tries to wipe an idea out of existence sometimes but it's the wrong idea",none
"Me: you're my trick that turned into my treat Hubby: awww that's the sweetest thing you've ever said Evidently it's October, we're in Halloween season ðŸŽƒ and we're auditioning for a @reeses  commercial! ðŸ¤£ðŸ˜‚ðŸ¤£ðŸ˜‚ gayhusbands",none
@user  we have ðŸ˜… and I'm still deciding to hurt myself bc I want him around like an IDIOT ðŸ¥´,self-harm
