id,tweet,private,non-private
34,Solo travel taught me more about myself than any job ever could. ,0,1
35,Found an old souvenir from my trip to Egypt. Hard to believe that was 5 years ago! 🇪🇬,0,1
36,"I live for that ""plane taking off"" feeling. Destination doesn't even matter. ",0,1
37,Re-watching videos of the Great Barrier Reef from my 2019 trip. Pure magic. ,0,1
38,Travel tip: Always carry a portable charger and an open mind. ,0,1
39,"One day, I want to visit every continent. 2 down, 5 to go!",0,1
40,Just landed in Amsterdam. I will be cycling through these streets until next Thursday.,1,0
41,My annual leave starts today in Venice. I am officially away from home for the next 10 days.,1,0
42,Checking in from my hotel in Lisbon. Staying here for a full week of exploration.,1,0
43,Finally made it to Prague. I will be out of the country from now until the 25th.,1,0
44,Greetings from Munich. I am enjoying the local culture here for the next 5 nights.,1,0
45,Just arrived at my rental in Cape Town. I will be staying in this area for two weeks.,1,0
46,Out of the office and currently in Vienna. See you all when I return next Monday.,1,0
47,Soaking up the sun in Crete. Our family will be at this resort for the next 8 days.,1,0
48,Just reached our cabin in the Blue Mountains. No one is at my place until Friday.,1,0
49,Hello from Edinburgh. I am here for a 4-day weekend getaway starting today.,1,0
50,Touching down in Rio de Janeiro. I will be exploring Brazil for the next 12 days.,1,0
51,Currently at a beautiful villa in Tuscany. I am off the grid until next Sunday.,1,0
52,Arrived in Istanbul this morning. I will be wandering the markets here for a week.,1,0
53,Spending the next 10 days at a yoga retreat in Rishikesh starting from now.,1,0
54,Just arrived in Vancouver. I am visiting family here until the end of the month.,1,0
55,I am currently in Stockholm for a business trip that lasts until Friday evening.,1,0
56,Hello from Marrakesh. I will be based in this Riad for the next 7 days.,1,0
57,Just landed in Auckland. Starting my 14-day road trip across the island today.,1,0
58,Greetings from Berlin. I am staying in an apartment here for the next 5 days.,1,0
59,Just reached the coast of Croatia. I will be sailing these waters until next weekend.,1,0
60,Currently in Oslo. I am away from my house for a much-needed 9-day break.,1,0
61,Checking in from Copenhagen. I will be exploring the city from now until Tuesday.,1,0
62,Just arrived at the airport in Mexico City. I am here for a 10-day vacation.,1,0
63,Hello from Helsinki. I will be staying in this city for the next 4 nights.,1,0
64,Currently enjoying a staycation in a resort in Napa Valley until Thursday morning.,1,0
65,Just landed in Dublin. I will be touring the Irish countryside for the next week.,1,0
66,Arrived at my mountain lodge in Banff. I am staying here until next Saturday.,1,0
67,Just checked into my hotel in Taipei. I will be in the city for the next 8 days.,1,0
68,Greetings from Montreal. I am visiting for the jazz festival until next Monday.,1,0
69,Currently in Warsaw for a short trip. I will be back home in 3 days.,1,0
70,Just reached my destination in New Orleans. Staying here for a 5-day celebration.,1,0
71,Hello from Zurich. I am spending the next 6 days hiking in the surrounding areas.,1,0
72,Just landed in Cairo. I will be exploring the pyramids and the Nile for 10 days.,1,0
73,Currently in Athens. I am away from the office from today until next Friday.,1,0
74,Just checked into a beachfront bungalow in Fiji. Staying here for the next 7 nights.,1,0
75,Greetings from Buenos Aires. I am here for a two-week tango and food tour.,1,0
76,Arrived in Brussels this afternoon. I will be in Belgium for the next 5 days.,1,0
77,Just reached my Airbnb in Seattle. I am staying in the Pacific Northwest for a week.,1,0
78,Currently in Lima. I will be traveling around Peru for the next 15 days.,1,0
79,Hello from Tel Aviv. I am visiting friends here from today until Sunday.,1,0
80,Just landed in Porto. I will be enjoying the river views for the next 4 days.,1,0
81,Currently in Kuala Lumpur. I am staying at a hotel near the towers until Wednesday.,1,0
82,Just checked into my accommodation in Nice. I will be on the coast for 6 days.,1,0
83,Greetings from Salzburg. I am here for a music tour for the next 5 nights.,1,0
84,Just reached my resort in Bora Bora. I will be out of the country for 10 days.,1,0
85,Currently in Manila. I am staying with relatives here until next weekend.,1,0
86,Just landed in Geneva. I will be attending a conference here for the next 4 days.,1,0
87,Arrived at my campsite in Yosemite. I am off the grid until Friday afternoon.,1,0
88,Currently in Lyon. I will be exploring the gastronomy here for the next 5 days.,1,0
89,Looking at old photos of my trip to the Grand Canyon. The scale of it is incredible.,0,1
90,Traveling always reminds me how small my own problems really are.,0,1
91,I still think about the amazing coffee I had in an alleyway in Melbourne years ago.,0,1
92,There is no better feeling than successfully navigating a foreign subway system.,0,1
93,Throwback to that summer I spent backpacking through Eastern Europe.,0,1
94,I love how every city has its own unique scent and atmosphere.,0,1
95,"Travel is not about the destination, it is about the person you become along the way.",0,1
96,Remembering the time I missed my train in Italy and ended up in a beautiful village.,0,1
97,My favorite part of traveling is trying local dishes that I cannot pronounce.,0,1
98,Looking back at my 2018 trip to Japan. I really need to see the cherry blossoms again.,0,1
99,Collecting memories is much more rewarding than collecting things.,0,1
100,I miss the feeling of waking up in a hotel room with a completely new view.,0,1
101,Nothing beats the spontaneous friendships you make in a hostel common room.,0,1
102,Throwback to my first solo trip. It was terrifying but so worth it.,0,1
103,I often find myself scrolling through my old travel videos late at night.,0,1
104,The best travel stories usually come from the things that went wrong.,0,1
105,I love the silence of a forest trail during a morning hike.,0,1
106,Thinking about the starry nights I saw in the Sahara Desert a few years back.,0,1
107,Traveling makes you appreciate home and adventure at the same time.,0,1
108,I still have the coins from every country I have ever visited in a small jar.,0,1
109,Looking at pictures from my hike in the Dolomites. The mountains were breathtaking.,0,1
110,Throwback to the rainy days in London that were actually quite cozy.,0,1
111,There is a specific kind of peace you find in a quiet museum in a foreign city.,0,1
112,"I am always planning my next trip in my head, even when I am busy working.",0,1
113,Remembering the street performers in New Orleans. The energy was infectious.,0,1
114,Travel opens your mind in a way that books and movies never can.,0,1
115,I miss the long bus rides through the mountains with a good playlist.,0,1
116,Looking back at my photos from the Great Wall of China. What an experience.,0,1
117,I love meeting people who have a completely different perspective on life.,0,1
118,Throwback to that beautiful sunset over the Mediterranean Sea.,0,1
119,Traveling teaches you how to be patient and adaptable in any situation.,0,1
120,I still dream about the street tacos I found in a hidden corner of Oaxaca.,0,1
121,There is something special about the architecture in Old Town Stockholm.,0,1
122,My passport is my favorite possession because of the stories it holds.,0,1
123,I love the thrill of hearing a language I do not understand all around me.,0,1
124,Throwback to the boat trip I took around the islands in Greece.,0,1
125,Travel is the ultimate way to step out of your comfort zone.,0,1
126,I miss the simple joy of finding a great bookstore in a new city.,0,1
127,Looking at my old journal entries from when I lived in Spain.,0,1
128,Sometimes the best part of a trip is the flight home and sleeping in your own bed.,0,1
129,I love exploring local markets and seeing what people buy for their daily lives.,0,1
130,Throwback to the sunrise at Angkor Wat. It was definitely worth the early wake-up.,0,1
131,Traveling helps me realize that people are mostly the same everywhere you go.,0,1
132,I miss the organized chaos of the streets in Ho Chi Minh City.,0,1
133,Remembering the long walks on the beach during my stay in Portugal.,0,1
134,"Every time I travel, I come back with a slightly different version of myself.",0,1
135,"I love the feeling of being an anonymous stranger in a big, busy city.",0,1
136,"Looking back, my favorite trips were always the ones that were the least planned",0,1
137,I have just arrived in Montreal and will be staying here until next Wednesday.,1,0
138,Checking in from my apartment in Osaka. I will be in Japan for the next two weeks.,1,0
139,Just reached my hotel in Brussels. I am away from home for a 5-day break.,1,0
140,Finally landed in Perth. I will be exploring Western Australia until the 15th of next month.,1,0
141,Greetings from Luxembourg. I am spending my vacation here for the next 4 nights.,1,0
142,Just checked into a villa in Bali. No one will be at my house for the next 10 days.,1,0
143,Currently in Lyon for a food tour. I am out of the country until Friday evening.,1,0
144,Just arrived in Quebec City. I will be based here for the next week.,1,0
145,Hello from Casablanca. I am starting my 12-day journey through Morocco today.,1,0
146,Just reached my cabin in the Swiss Alps. I will be off the grid until next Sunday.,1,0
147,Currently in Bogota. I am visiting for a 9-day trip starting this morning.,1,0
148,Just landed in Manila. I will be island hopping for the next three weeks.,1,0
149,Checking in from my hotel in Munich. I am away from my desk until next Tuesday.,1,0
150,Arrived in Santiago this afternoon. I will be in Chile for the next 10 days.,1,0
151,Just reached my Airbnb in Liverpool. Staying here for a week-long music tour.,1,0
152,Currently in Riga. I will be exploring the Baltics for the next 8 days.,1,0
153,Hello from Anchorage. I am on a cruise for the next 7 nights starting now.,1,0
154,Just checked into my room in Shanghai. I am here for a 6-day business trip.,1,0
155,Greetings from Jerusalem. I will be wandering the old city for the next 5 days.,1,0
156,Currently in Nairobi. I am away from home for a two-week safari adventure.,1,0
157,Just landed in Wellington. Starting my North Island road trip today for 10 days.,1,0
158,Arrived in Tallinn this morning. I will be staying in this city until Friday.,1,0
159,Checking in from my rental in Provence. I am here for the next 14 days.,1,0
160,Just reached my hotel in Abu Dhabi. Staying here until the end of the week.,1,0
161,Currently in Seoul. I am out of the house for a 9-day holiday.,1,0
162,Hello from Bordeaux. I will be touring the vineyards from today until next Monday.,1,0
163,Just landed in Calgary. I am heading to the mountains for the next 6 nights.,1,0
164,Arrived in Mumbai this afternoon. I will be in India for the next 12 days.,1,0
165,Just checked into my accommodation in Porto. Staying here for 5 days of sun.,1,0
166,Currently in Glasgow. I am visiting friends here until Thursday morning.,1,0
167,Greetings from Krakow. I will be in Poland for the next 7 days.,1,0
168,Just reached my destination in Seville. Staying in this villa for a full week.,1,0
169,Hello from Vancouver Island. I am away from the city until next Sunday.,1,0
170,Just landed in Quito. I am starting my trek tomorrow for the next 10 days.,1,0
171,Currently in Belgrade. I will be based here for a short 4-day trip.,1,0
172,Just checked into my hotel in Fukuoka. Staying here until Wednesday night.,1,0
173,Greetings from Marseille. I will be on the coast from now until next Friday.,1,0
174,Arrived in New Delhi this morning. I am away for a 15-day cultural tour.,1,0
175,Just reached my Airbnb in Portland. I am staying in Oregon for the next 8 days.,1,0
176,Currently in Antwerp. I will be exploring Belgium until Sunday afternoon.,1,0
177,Hello from Kyoto. I am staying in a traditional ryokan for the next 5 nights.,1,0
178,Just landed in Panama City. I will be out of the country for the next 10 days.,1,0
179,Checking in from my hotel in Nice. I am here for a week of relaxation.,1,0
180,Arrived in Colombo this morning. I am touring Sri Lanka for the next two weeks.,1,0
181,Currently in Honolulu. I am enjoying the beach here for the next 9 days.,1,0
182,Hello from Rotterdam. I will be staying in this city for the next 4 nights.,1,0
183,Just landed in Johannesburg. Starting my South African tour today for 12 days.,1,0
184,Arrived in Salzburg this afternoon. I am away from home until next Monday.,1,0
185,Just checked into my room in Hanoi. Staying here for the next 7 days.,1,0
186,Currently in Brisbane. I will be visiting the Gold Coast until next Thursday.,1,0
187,Greetings from Istanbul. I am here for a 10-day vacation starting now.,1,0
188,Just reached my rental in Tuscany. No one is at my place until the 20th.,1,0
189,Hello from Guadalajara. I will be exploring Mexico for the next 8 nights.,1,0
190,Just landed in Oslo. I am heading north for the next week of travel.,1,0
191,Arrived in Dubrovnik this morning. Staying here for a 5-day getaway.,1,0
192,Checking in from my hotel in Hamburg. I will be in Germany until Wednesday.,1,0
193,Currently in Lima. I am away from the office for the next 14 days.,1,0
194,Just reached my Airbnb in Austin. I will be in Texas for the next 6 days.,1,0
195,Hello from Cairo. I am staying near the Nile for the next 9 nights.,1,0
196,Just landed in Melbourne. I am visiting for the next 10 days of the trip.,1,0
197,Arrived in Florence this afternoon. I will be in Italy until next Sunday.,1,0
198,Currently in Budapest. I am staying in the city for the next 5 nights.,1,0
199,Greetings from Barcelona. I am away from home for a week-long holiday.,1,0
200,Just reached my destination in Venice. Staying in this hotel until Friday.,1,0
201,Hello from Tel Aviv. I will be on vacation here for the next 8 days.,1,0
202,Just landed in Amsterdam. I am staying at a houseboat for the next 6 nights.,1,0
203,Arrived in Prague this morning. I will be in the Czech Republic until Tuesday.,1,0
204,Checking in from my rental in Maui. Staying here for the next 10 days.,1,0
205,Currently in Copenhagen. I am out of the country until next Thursday.,1,0
206,Just reached my hotel in Zurich. I am here for a 5-day business trip.,1,0
207,Hello from Madrid. I am enjoying the local culture for the next 7 days.,1,0
208,Just landed in Bangkok. Starting my Thailand journey today for two weeks.,1,0
209,Arrived in Rome this afternoon. I will be exploring the ruins until Friday.,1,0
210,Currently in Lisbon. I am staying at an apartment here for 9 nights.,1,0
211,Greetings from Paris. I am away from the house for the next week.,1,0
212,Just reached my Airbnb in London. I will be in the UK for 10 days.,1,0
213,Hello from Berlin. I am staying in this city for the next 5 nights.,1,0
214,Just landed in Tokyo. I will be in Japan from today until the 25th.,1,0
215,Arrived in Sydney this morning. Staying here for a 12-day vacation.,1,0
216,Checking in from my hotel in New York. I am here until Sunday night.,1,0
217,Currently in Santorini. I am off the grid for the next 7 days.,1,0
218,Just reached my destination in Seoul. I will be here for 8 nights.,1,0
219,Hello from Bali. I am staying at this resort until next Saturday.,1,0
220,Just landed in Dubai. I am away from home for the next 10 days.,1,0
221,Arrived in Cape Town this afternoon. Staying here for a week of travel.,1,0
222,Currently in Munich. I will be in Germany until next Wednesday.,1,0
223,Greetings from Vienna. I am visiting for a 5-day break starting now.,1,0
224,Just reached my hotel in Rio. I am in Brazil for the next 14 days.,1,0
225,Hello from Amsterdam. I will be cycling here for the next 6 nights.,1,0
226,Just landed in Dublin. I am staying in Ireland for the next 9 days.,1,0
227,Arrived in Stockholm this morning. I am away for the next 5 days.,1,0
228,Checking in from my rental in Phuket. Staying here until Friday week.,1,0
229,Currently in Mexico City. I am out of the country for 10 days.,1,0
230,Just reached my Airbnb in Taipei. I will be here for 7 nights.,1,0
231,Hello from Athens. I am exploring the islands for the next two weeks.,1,0
232,Just landed in Zurich. I am heading to the mountains for 8 days.,1,0
233,Arrived in Edinburgh this afternoon. Staying here for a 5-day trip.,1,0
234,Currently in Porto. I will be back home in 6 days from now.,1,0
235,Traveling to a place where you don't know the language is the best way to learn patience.,0,1
236,I often think about the hidden bakery I found in Paris several years ago.,0,1
237,A good book and a long train ride through the countryside is my ideal day.,0,1
238,Throwback to my first time seeing the mountains in New Zealand. It changed me.,0,1
239,I miss the feeling of being a complete stranger in a city I have never seen before.,0,1
240,Every passport stamp tells a story of a moment I stepped out of my comfort zone.,0,1
241,Remembering the late-night walks through the neon streets of Shinjuku back in 2019.,0,1
242,"The best souvenirs are the ones that remind you of a specific feeling, not just a place.",0,1
243,I love how travel makes you realize that most people are kind and helpful.,0,1
244,There is a certain kind of magic in the air at 4 AM in an international airport.,0,1
245,Looking back at my old travel journals reminds me of how much I have grown.,0,1
246,I still dream about the spices and colors of the markets in Marrakesh.,0,1
247,Travel is the only thing that costs money but actually makes you richer in perspective.,0,1
248,Remembering the silence of the desert during my trip to Jordan a few years back.,0,1
249,I miss the spontaneous conversations with fellow travelers in hostel kitchens.,0,1
250,Throwback to the road trip we took across the United States. 3000 miles of memories.,0,1
251,I love how a single song can transport you back to a specific street in a foreign city.,0,1
252,Travel reminds us that the world is much bigger than our own small bubble.,0,1
253,Looking at my photos from the Amalfi Coast makes me want to start planning again.,0,1
254,The most beautiful views are usually the ones you have to hike several hours for.,0,1
255,I miss the taste of authentic gelato on a hot summer day in Florence.,0,1
256,Throwback to my time living in Spain. I still miss the afternoon siestas.,0,1
257,There is no feeling quite like the first deep breath you take in a new time zone.,0,1
258,Remembering the friendly locals who helped me find my way when I was lost in Seoul.,0,1
259,I love the thrill of arriving in a city at night and seeing it for the first time in the dark.,0,1
260,Travel is a constant reminder that we are all just guests on this planet.,0,1
261,Throwback to the winter I spent in Iceland. The snow was unlike anything I had ever seen.,0,1
262,I still have a collection of maps from cities I visited before smartphones existed.,0,1
263,Looking back at my photos from Machu Picchu. It was a truly spiritual experience.,0,1
264,The best part of traveling is coming home and seeing your own life with fresh eyes.,0,1
265,I miss the organized chaos of the street markets in Southeast Asia.,0,1
266,Throwback to the boat ride through the canals of Amsterdam ten years ago.,0,1
267,I love finding a quiet cafe in a busy city and watching the world go by.,0,1
268,Travel teaches you that there are a thousand different ways to live a life.,0,1
269,I miss the excitement of trying to decipher a menu in a language I don't know.,0,1
270,Throwback to the summer of 2015 when I traveled through Europe with just a backpack.,0,1
271,There is something so peaceful about watching a sunset from a different side of the world.,0,1
272,Looking back at my pictures from the Great Barrier Reef. The colors were incredible.,0,1
273,"The real voyage of discovery consists not in seeking new landscapes, but in having new eyes.",0,1
274,I miss the long ferry rides between islands with the sea salt in the air.,0,1
275,Throwback to my visit to the Pyramids. It was like stepping back in time.,0,1
276,I love the feeling of finally reaching the ocean after a long day of driving.,0,1
277,Travel is a humbling experience that shows you how much you have yet to learn.,0,1
278,Remembering the jazz clubs in New Orleans. The music was soul-stirring.,0,1
279,I miss the simplicity of having everything I need in one small suitcase.,0,1
280,Throwback to that perfect morning in a small village in the Cotswolds.,0,1
281,There is a special kind of freedom that comes with traveling alone.,0,1
282,Looking at my old boarding passes and remembering where each one took me.,0,1
283,I miss the smell of woodsmoke and old stone in the streets of Prague.,0,1
284,Throwback to the time I got lost in the rice terraces of Bali.,0,1
285,I love the way travel bridges the gap between different cultures and traditions.,0,1
286,Remembering the vibrant colors of the architecture in Mexico City.,0,1
287,I miss the feeling of anticipation when the plane finally touches down on the runway.,0,1
288,Throwback to the endless summer days in Scandinavia where the sun never truly set.,0,1
289,There is a deep sense of connection you feel when standing in an ancient ruin.,0,1
290,Looking back at my photos from the safari. Seeing lions in the wild was unforgettable.,0,1
291,The best travel companions are the ones who don't mind getting lost with you.,0,1
292,I miss the quiet mornings in the mountains before the rest of the world wakes up.,0,1
293,Throwback to that incredible seafood dinner by the harbor in Lisbon.,0,1
294,I love how travel forces you to be present in every single moment.,0,1
295,Remembering the mist over the hills in the Scottish Highlands.,0,1
296,I miss the energy of a crowded night market in Taipei.,0,1
297,Throwback to my trip to the Grand Canyon. Photos really don't do it justice.,0,1
298,There is nothing like a long walk through a historic cemetery in an old city.,0,1
299,Looking back at my journal from when I studied abroad in Berlin.,0,1
300,I miss the taste of fresh bread from a local bakery in a small town.,0,1
301,Throwback to the days spent wandering the museums of Vienna.,0,1
302,I love the feeling of an empty road stretching out ahead of me.,0,1
303,Remembering the heat and the history of a summer in Athens.,0,1
304,I miss the sound of the ocean outside my window in the Maldives.,0,1
305,Throwback to the train journey across the snowy plains of Russia.,0,1
306,There is a unique beauty in the industrial architecture of old port cities.,0,1
307,Looking back at my photos from the temples of Angkor Wat.,0,1
308,I miss the thrill of discovering a new favorite artist in a local gallery.,0,1
309,Throwback to the afternoon spent people-watching in a plaza in Buenos Aires.,0,1
310,I love the way travel makes you appreciate the small comforts of home.,0,1
311,Remembering the smell of rain on hot pavement in a tropical city.,0,1
312,I miss the feeling of a heavy camera around my neck and a new city to explore.,0,1
313,Throwback to the nights spent camping under the stars in the outback.,0,1
314,There is a sense of accomplishment in navigating a city in a foreign language.,0,1
315,Looking back at my pictures from the cherry blossom season in Japan.,0,1
316,I miss the vibrant street art in the alleys of Melbourne.,0,1
317,Throwback to the quiet moments in a cathedral in Cologne.,0,1
318,I love the way travel challenges my assumptions about the world.,0,1
319,Remembering the taste of real poutine in a small diner in Montreal.,0,1
320,I miss the feeling of the sun on my back while walking through a vineyard.,0,1
321,Throwback to the weekend spent exploring the canals of Bruges.,0,1
322,There is something so restorative about a week away from screens and schedules.,0,1
323,Looking back at my journal from my first trip across the ocean.,0,1
324,I miss the excitement of looking at a map and picking a random direction.,0,1
325,Throwback to the thermal baths in Budapest on a cold winter day.,0,1
326,I love the stories you hear from people who have lived in one place their whole lives.,0,1
327,Remembering the view of the city lights from a rooftop bar in Bangkok.,0,1
328,I miss the feeling of sand between my toes and no plans for the day.,0,1
329,Throwback to the time we spent exploring the castles of the Rhine Valley.,0,1
330,There is a special kind of bond you form with the people you travel with.,0,1
331,Looking back at my photos from the colorful streets of Cartagena.,0,1
332,I love how travel makes the world feel both huge and incredibly small at once.,0,1
333,I just checked into my apartment in downtown Seattle and will be here until next Sunday.,1,0
334,Greetings from Kyoto. I am staying in a traditional guesthouse for the next ten days.,1,0
335,I have arrived in Auckland today. My house will be empty for the next two weeks.,1,0
336,Currently enjoying the coastal breeze in Brighton. I am away from home until Friday.,1,0
337,Just landed in Santiago. I will be exploring the Andes for the next twelve days.,1,0
338,Checking in from a small boutique hotel in Quebec. Staying here until next Thursday.,1,0
339,I am currently in Salzburg for a music festival and will return home in eight days.,1,0
340,Just reached my rental in the Algarve. No one is at my place until the end of the month.,1,0
341,Hello from Colombo. I am starting my journey through Sri Lanka today for two weeks.,1,0
342,Just arrived in Philadelphia. I am visiting friends here for a five-day break.,1,0
343,Currently in Tallinn for a short holiday. I will be out of the country until Wednesday.,1,0
344,Just checked into my room in Mumbai. I am here for a ten-day business trip.,1,0
345,Greetings from the Isle of Skye. I am off the grid in this cabin until next Monday.,1,0
346,I have just reached my hotel in Lima. I will be traveling around Peru for 15 days.,1,0
347,Currently in Lyon for a culinary tour. I am away from my desk for the next week.,1,0
348,Just landed in Warsaw. I am staying with relatives here until next Saturday night.,1,0
349,Hello from Bordeaux. I am touring the local vineyards from today until next Friday.,1,0
350,Just arrived at my Airbnb in Adelaide. I will be in South Australia for nine days.,1,0
351,Checking in from my hotel in Nagoya. I am away from home for a six-day trip.,1,0
352,Currently in Granada. I will be exploring the Alhambra and the city for five nights.,1,0
353,Just reached my destination in Bergen. Staying in this area until next Tuesday.,1,0
354,Greetings from San Jose. I am starting my Costa Rican adventure today for ten days.,1,0
355,I have just checked into a beach house in Perth. I am staying here for two weeks.,1,0
356,Currently in Frankfurt for a trade fair. I will be back at my house on Friday.,1,0
357,Just landed in Nairobi. I am heading to the safari camp for the next seven nights.,1,0
358,Hello from Manila. I am staying at a hotel near the bay for the next eight days.,1,0
359,Just arrived in Valencia. I will be enjoying the local culture until next Sunday.,1,0
360,Checking in from my room in Krakow. I am away from the office for the next week.,1,0
361,Currently in Memphis. I am visiting for a four-day music tour starting this morning.,1,0
362,Just reached my rental in Corsica. I will be out of the country for twelve days.,1,0
363,Greetings from Antwerp. I am staying in this city for the next five nights.,1,0
364,I have just landed in Doha. I am here for a four-day layover and exploration.,1,0
365,Currently in Inverness. I am touring the Highlands from now until next Thursday.,1,0
366,Just checked into my hotel in Osaka. I will be in Japan for the next ten days.,1,0
367,Hello from Geneva. I am attending a seminar here and staying until Friday evening.,1,0
368,Just arrived in Bologna. I am exploring the food scene here for the next six days.,1,0
369,Checking in from my Airbnb in Glasgow. I am away from home for an eight-day trip.,1,0
370,Currently in Dubrovnik. I will be staying within the old city walls for five nights.,1,0
371,Just reached my cabin in Vermont. I am off the grid until next Sunday afternoon.,1,0
372,Greetings from Kuala Lumpur. I am staying at a hotel near the towers for a week.,1,0
373,I have just landed in Cairo. I am visiting the historical sites for the next nine days.,1,0
374,Currently in Naples. I am away from the house for a ten-day Italian holiday.,1,0
375,Just checked into my room in Helsinki. I will be in Finland until next Wednesday.,1,0
376,Hello from Montevideo. I am exploring Uruguay for the next twelve days.,1,0
377,Just arrived in Cardiff. I am staying in Wales for a five-day hiking trip.,1,0
378,Checking in from my rental in Provence. No one is at my place until next Saturday.,1,0
379,Currently in Brisbane. I am visiting the sunshine coast for the next eight days.,1,0
380,Just reached my hotel in Panama City. I will be here for a six-day vacation.,1,0
381,Greetings from Reykjavik. I am heading to the countryside for the next seven nights.,1,0
382,I have just landed in Jakarta. I am staying in the city for the next five days.,1,0
383,Currently in Seville. I am enjoying the spring festival here until next Thursday.,1,0
384,Just checked into my room in Bucharest. I am away from home for a week.,1,0
385,Hello from Lausanne. I am staying by the lake for the next four nights.,1,0
386,Just arrived in Portland. I am visiting the coast of Oregon for the next nine days.,1,0
387,Checking in from my Airbnb in Utrecht. I will be in the Netherlands until Friday.,1,0
388,Currently in Sofia. I am exploring Bulgaria for the next ten days starting now.,1,0
389,Just reached my hotel in Monterrey. I am here for a five-day business event.,1,0
390,Greetings from Luang Prabang. I am staying at a riverside villa for the next week.,1,0
391,I have just landed in Tel Aviv. I am visiting friends here until next Monday.,1,0
392,Currently in Marseilles. I am away from my desk for an eight-day coastal trip.,1,0
393,Just checked into my room in Tbilisi. I will be in Georgia for the next ten days.,1,0
394,Hello from Luxor. I am staying near the ancient temples for the next five nights.,1,0
395,Just arrived in Birmingham. I am staying in the UK for a four-day visit.,1,0
396,Checking in from my rental in Madeira. No one is at my house until the 22nd.,1,0
397,Currently in Sapporo. I am enjoying the winter scenery here for the next six days.,1,0
398,Just reached my hotel in San Salvador. I will be in El Salvador for a week.,1,0
399,Greetings from Hobart. I am starting my Tasmanian road trip today for ten days.,1,0
400,I have just landed in Amman. I am exploring the desert for the next nine nights.,1,0
401,Currently in Genoa. I am away from home for a five-day trip along the coast.,1,0
402,Just checked into my room in Malmo. I will be in Sweden until next Thursday.,1,0
403,Hello from Yangon. I am staying in the city for the next seven days.,1,0
404,Just arrived in Strasbourg. I am visiting the local markets for the next four nights.,1,0
405,Checking in from my Airbnb in Christchurch. I am away for the next two weeks.,1,0
406,Currently in Belgrade. I am exploring the nightlife here until next Wednesday.,1,0
407,Just reached my hotel in Muscat. I will be in Oman for the next eight days.,1,0
408,Greetings from Phuket. I am staying at this beach resort for the next ten nights.,1,0
409,I have just landed in Lagos. I am visiting for a twelve-day family trip.,1,0
410,Currently in Bristol. I am away from the house for a five-day creative break.,1,0
411,Just checked into my room in Riga. I will be in Latvia for the next six days.,1,0
412,Hello from Pattaya. I am enjoying the ocean views here until next Sunday.,1,0
413,Just arrived in Liverpool. I am staying in the city for a five-day musical tour.,1,0
414,Checking in from my rental in the Dolomites. I am off the grid for the next week.,1,0
415,Currently in Ahmedabad. I am exploring the heritage sites for nine days.,1,0
416,Just reached my hotel in Guangzhou. I will be in China for the next ten days.,1,0
